date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2020-02-05,0.15987823126425377,15.39,8.35,16.43,65.62
2020-02-10,0.1586537512180577,17.94,0,20.29,50.46
2020-02-15,0.15822060155349332,18.43,0,21.09,41.4
2020-02-20,0.15857878227056002,21.23,31.87,15.59,63.14
2020-02-25,0.15972829336925842,19.105,0.01,20.75,56.135
2020-03-01,0.16139989085203987,21.98,6.01,20.42,56.1
2020-03-06,0.16448797738484905,21.1,8.25,19.89,62.25
2020-03-11,0.16869722179624866,22.26,36.79,17.92,70.31
2020-03-16,0.1731150329008349,22.12,7.26,19.04,56.26
2020-03-21,0.17667833369987168,23.59,1.68,21.31,54.55
2020-03-26,0.17869257664863114,26.33,0.97,20.88,54.87
2020-03-31,0.17875120917728154,26.94,1.05,22.18,53.36
2020-04-05,0.17682642210412225,28.12,1.5,23.4,33.98
2020-04-10,0.17357542951035132,31.32,0.01,25.29,24.13
2020-04-15,0.16978540203070602,31.6,0.15,21.34,24.03
2020-04-20,0.1659138828206721,31.08,2.59,23.87,26.33
2020-04-25,0.1622351395369554,28.29,15.68,24.63,45.27
2020-04-30,0.15933435583856037,31.04,4.21,25.29,32.43
2020-05-05,0.15824572378054047,30.98,12.02,23.86,42.99
2020-05-10,0.1597699612491943,31.87,37.330000000000005,23.13,38.17
2020-05-15,0.16422242531314907,30.64,171.67999999999998,23.49,47.12
2020-05-20,0.17146976276646322,32.96,0,28,34.39
2020-05-25,0.18092024945729607,33.77,4.19,28.03,32.73
2020-05-30,0.1914355520508189,31.65,0.01,22.97,44
2020-06-04,0.20202640820823625,29.49,9.120000000000001,23.18,60.73
2020-06-09,0.2122007087516769,27.51,49.51,14.89,75.3
2020-06-14,0.2218965394360335,26.8,62.43,14.45,78.99
2020-06-19,0.23132193189780675,26.11,49.52,15.22,82.28
2020-06-24,0.24081872189671089,25.94,46.18,16.29,85.08
2020-06-29,0.2506935215195509,26.92,43.57,12.02,85.89
2020-07-04,0.2610151966099845,25.61,56.78,15.15,86.3
2020-07-09,0.2714545374159702,25.76,58.480000000000004,14.82,86.51
2020-07-14,0.28177446046307003,26.23,16.39,17.37,83.62
2020-07-19,0.29178784765670635,24.97,31.92,14.22,87.82
2020-07-24,0.30130758090229953,26.14,17.25,17.44,83.5
2020-07-29,0.3101465421052719,26.17,4.24,20.72,85.6
2020-08-03,0.31811761317104464,25.91,83.4,13.7,87.05
2020-08-08,0.32503367600503924,25.35,90.56,11.27,89.17
2020-08-13,0.33073756680150546,25.74,109.49000000000001,8.79,90.5
2020-08-18,0.3352419821798732,25.59,142.85,8.44,92.85
2020-08-23,0.3380601856410295,24.83,49.43,16,92.44
2020-08-28,0.33840945397548733,24.53,162.07999999999998,8.26,93.29
2020-09-02,0.335575898779897,25.15,11.69,19.85,86.23
2020-09-07,0.3291957705803069,25.67,46.24,17.96,86.99
2020-09-12,0.31945324556218546,25.66,19.38,19.02,87.17
2020-09-17,0.30725101845232616,26.35,14.97,17,83.22
2020-09-22,0.2944266384093324,24.63,68.74,11.17,92.25
2020-09-27,0.28315619352953186,24.6,2.24,18.39,83.63
2020-10-02,0.2745142665145327,23.38,11.4,17.74,79.55
2020-10-07,0.2682690340836998,24.46,51.9,11.95,90
2020-10-12,0.26355135406670016,24.4,4.5200000000000005,16.85,89.03
2020-10-17,0.2591787824797518,24.46,4.76,17.34,84.71
2020-10-22,0.25402936875078796,23.1,0,18.22,67.96
2020-10-27,0.24748232687033425,21.87,0,17.08,69.74
2020-11-01,0.23974856561196917,19.22,0,18.35,62.51
2020-11-06,0.2314193055610234,16.68,0,17.2,62.19
2020-11-11,0.2229390042137289,20.95,0.09,17.09,82.38
2020-11-16,0.2143961561166647,21.19,10.74,16,80.74
2020-11-21,0.20599416735806825,17.31,0.1,17.3,59.2
2020-11-26,0.19794474500101972,18.49,5.14,16.08,74.79
2020-12-01,0.19042970609236864,19.02,0,16.4,46.22
2020-12-06,0.1835901045654196,19.4,0,16.11,50.83
2020-12-11,0.17750237931533883,18.98,3.31,7.73,74.02
2020-12-16,0.17215887718785974,15.2,0.07,15.4,63.19
2020-12-21,0.1674864190240446,15.4,0,16.94,49.51
2020-12-26,0.16337564151033188,16.31,0,14.8,56.22
2020-12-31,0.15972049972988078,16.67,0,11.67,54.68
2021-01-05,0.15641785551698106,21.7,0.02,12.31,57.99
2021-01-10,0.15336518463905424,17.19,0,17.73,43.88
2021-01-15,0.1506100192884104,18.48,0,16.34,41.62
2021-01-20,0.14824403676121128,18.64,0,17.58,28.82
2021-01-25,0.1462616578624208,17.95,3.63,12.53,39.81
2021-01-30,0.14442397117553596,15.97,0,20.28,23.22
2021-02-04,0.14244317598608247,17.86,0,20.87,22.66
2021-02-09,0.14020935215679164,22.05,0.02,17.96,28.4
2021-02-14,0.1380420575426079,19.97,19.3,13.29,57.69
2021-02-19,0.13647098144018577,22.9,0.19,22.55,29.61
2021-02-24,0.13596059648627729,25.19,0,22.75,25.66
2021-03-01,0.13642702958936462,24.45,0,23.42,17.7
2021-03-06,0.1373294252413859,25.99,0,22.48,18.76
2021-03-11,0.13789594209913614,25.49,8.26,18.92,36.19
2021-03-16,0.13776760702581178,27.13,0.66,18.85,30.41
2021-03-21,0.1371922553074486,28.35,0.18000000000000002,20.89,26.39
2021-03-26,0.13688650325599935,29.24,0,25.11,15.15
2021-03-31,0.13726091866204865,29.03,0,25.51,11.81
2021-04-05,0.13794264899566128,31.03,0.37,21.16,17.01
2021-04-10,0.13807057015978283,30.79,1.89,21.02,19.58
2021-04-15,0.1372236806984497,30.61,0.06,22.21,20.45
2021-04-20,0.13571703036472255,29.95,0.75,24.49,23.55
2021-04-25,0.13450013468345914,32.51,0,25.62,9.26
2021-04-30,0.1346937697455859,31.77,3.07,21.35,28.64
2021-05-05,0.13641739068974695,31,34.269999999999996,21.22,44.71
2021-05-10,0.1388588842379727,29.88,5.72,23.99,46.61
2021-05-15,0.14121717441292309,28.4,49.57,19.92,72.42
2021-05-20,0.1441937487996102,29.27,0.12000000000000001,22.33,47.15
2021-05-25,0.14975176895893044,29.23,0.5900000000000001,24.92,48.23
2021-05-30,0.16105503914847422,31.72,0.09,13.88,49.29
2021-06-04,0.17602071671245606,28.76,61.629999999999995,20.43,65.18
2021-06-09,0.19464880165087536,27.31,54.01,18.38,78.1
2021-06-14,0.216939293963732,26.22,29.73,17,79.79
