date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2020-02-05,0.23509008321284505,15.39,8.35,16.43,65.62
2020-02-10,0.2311576375889676,17.94,0,20.29,50.46
2020-02-15,0.2280066370564655,18.43,0,21.09,41.4
2020-02-20,0.22563708161533677,21.23,31.87,15.59,63.14
2020-02-25,0.22404897126558335,19.105,0.01,20.75,56.135
2020-03-01,0.22339511367292925,21.98,6.01,20.42,56.1
2020-03-06,0.22374157002791203,21.1,8.25,19.89,62.25
2020-03-11,0.22466338663826624,22.26,36.79,17.92,70.31
2020-03-16,0.2253794636879946,22.12,7.26,19.04,56.26
2020-03-21,0.22522761369436137,23.59,1.68,21.31,54.55
2020-03-26,0.22404179929366425,26.33,0.97,20.88,54.87
2020-03-31,0.22202859998890745,26.94,1.05,22.18,53.36
2020-04-05,0.21956983232776564,28.12,1.5,23.4,33.98
2020-04-10,0.2173744829980525,31.32,0.01,25.29,24.13
2020-04-15,0.216111063322563,31.6,0.15,21.34,24.03
2020-04-20,0.21607474644592056,31.08,2.59,23.87,26.33
2020-04-25,0.2170367408270119,28.29,15.68,24.63,45.27
2020-04-30,0.21883577622370665,31.04,4.21,25.29,32.43
2020-05-05,0.2219099036754525,30.98,12.02,23.86,42.99
2020-05-10,0.22673303719528767,31.87,37.330000000000005,23.13,38.17
2020-05-15,0.23350873732526217,30.64,171.67999999999998,23.49,47.12
2020-05-20,0.24217046488131616,32.96,0,28,34.39
2020-05-25,0.2523196703140795,33.77,4.19,28.03,32.73
2020-05-30,0.26309110103508354,31.65,0.01,22.97,44
2020-06-04,0.2735834499875476,29.49,9.120000000000001,23.18,60.73
2020-06-09,0.28318322545227587,27.51,49.51,14.89,75.3
2020-06-14,0.2917043758390431,26.8,62.43,14.45,78.99
2020-06-19,0.29922502640850296,26.11,49.52,15.22,82.28
2020-06-24,0.305989789227845,25.94,46.18,16.29,85.08
2020-06-29,0.31227826958276345,26.92,43.57,12.02,85.89
2020-07-04,0.3182371393115355,25.61,56.78,15.15,86.3
2020-07-09,0.32373045756574753,25.76,58.480000000000004,14.82,86.51
2020-07-14,0.328684945172454,26.23,16.39,17.37,83.62
2020-07-19,0.3330573000737695,24.97,31.92,14.22,87.82
2020-07-24,0.3367532149876054,26.14,17.25,17.44,83.5
2020-07-29,0.3396642295559367,26.17,4.24,20.72,85.6
2020-08-03,0.34169923507900046,25.91,83.4,13.7,87.05
