date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2020-02-05,0.20623001769571891,15.5,20.46,15.14,65.11
2020-02-10,0.19485270714777103,19.27,0,20.56,48.69
2020-02-15,0.18568984443490735,19.81,0,21.53,39.68
2020-02-20,0.1787414295571279,21.24,44.38,15.24,67.28
2020-02-25,0.17400746251443272,19.295,0,21.085,58.425
2020-03-01,0.1735185347238017,23,5.78,18.15,59.19
2020-03-06,0.1744182398445411,22.53,8.540000000000001,17.9,63.26
2020-03-11,0.17479751934436108,23.83,40.68,15.89,75.88
2020-03-16,0.17260624947718245,23.46,5.61,20.68,60.88
2020-03-21,0.1670347263370554,24.49,2.62,21.54,56.01
2020-03-26,0.15923235229292676,27.28,1.7599999999999998,21.24,51.35
2020-03-31,0.15097659299660554,28.06,0.16,22.6,49.33
2020-04-05,0.14342449717781527,29,1.49,23.17,37.9
2020-04-10,0.1377097582561852,31.36,0,25.23,28.43
2020-04-15,0.13473359510234575,32.51,0.15,21.53,28.76
2020-04-20,0.13489569855614322,32.1,6.4,22.64,31.17
2020-04-25,0.13749560188580784,29.27,22.38,22.71,44.34
2020-04-30,0.14145218625166028,32.13,3.68,24.84,35.36
2020-05-05,0.14617592754375716,31.44,39.36,23.6,45.95
2020-05-10,0.15143965371787346,31.82,36.86,22.54,42.02
2020-05-15,0.15809565588446417,31.77,145.96,22.66,47.33
2020-05-20,0.1699552183843843,34.21,0,27.93,33.1
2020-05-25,0.19048418872666684,34.15,8.13,26.82,35.45
2020-05-30,0.21798084261998812,31.96,0.26,22.94,47.84
2020-06-04,0.24878601847141169,31.44,5.08,22.83,53.72
2020-06-09,0.27869103581731935,28.48,45.47,13.21,74.71
2020-06-14,0.3035090468423829,27.75,76.45,10.84,78.32
2020-06-19,0.3203273979276463,27.11,77.36,12.8,81.36
2020-06-24,0.32925264523741754,27.27,50.43,16.93,83.62
2020-06-29,0.3342159659864436,27.19,66.57000000000001,13.01,87.72
2020-07-04,0.3385177503969034,26.42,62.38,14.21,85.47
2020-07-09,0.3417329146814574,26.56,58.33,15.42,85.91
2020-07-14,0.34384103896295826,26.9,21.97,16.04,83.91
2020-07-19,0.34525780079688956,26.06,25.9,14.6,88.13
2020-07-24,0.34596184275144926,27.38,19.17,17.53,82.2
2020-07-29,0.3456984395286164,27.67,1.8,20.56,81.72
2020-08-03,0.344175052094692,26.47,63.03,15.5,88.44
2020-08-08,0.3412289728475573,26.57,42.239999999999995,9.94,87.19
2020-08-13,0.33694743073552197,26.5,79.00999999999999,11.78,89.52
2020-08-18,0.33180842739964467,26.51,111.17,14.13,89.72
2020-08-23,0.3272287425981861,25.82,39.26,15.37,89.28
2020-08-28,0.3246927438655686,25.44,179.41,9.62,91.84
2020-09-02,0.3245260359281739,26.75,19.91,16.38,82.86
2020-09-07,0.325279371800986,26.45,48.25,17.16,84.63
2020-09-12,0.3247285332007329,26.27,7.92,17.42,88.26
2020-09-17,0.3215610472532148,27.17,11.68,16.13,83.5
2020-09-22,0.3160311567068168,25.78,72.11,10.11,90.95
2020-09-27,0.30917845727653004,26.05,1.01,18.85,81.78
2020-10-02,0.3029001003469432,24.78,12.700000000000001,13.42,79.3
2020-10-07,0.2986969132257976,25.96,45.89,11.44,88.06
2020-10-12,0.29674446214262246,25.07,9.99,16.38,91.3
2020-10-17,0.2954842284830861,25.36,3.32,16.67,84.22
2020-10-22,0.2930472488707381,23.87,0,18.2,71.63
2020-10-27,0.28863751127295556,23.05,0,17.04,72.15
2020-11-01,0.28253015971846407,20.75,0,18.04,67.42
2020-11-06,0.27509784673384885,17.87,0,17.09,65.76
2020-11-11,0.26687034934377557,21.55,0,16.64,83.7
2020-11-16,0.2583087408454639,22.63,8.39,16.08,78.86
2020-11-21,0.24983566715891453,17.43,0.99,17.23,64.98
2020-11-26,0.24195526326622965,19.67,6.0200000000000005,16.57,77.14
2020-12-01,0.23510803536762456,19.5,0,16.94,55.17
2020-12-06,0.22943650080553468,19.95,0,16.27,54.29
2020-12-11,0.22480445656536785,20.53,1.5999999999999999,8.61,66.24
2020-12-16,0.220968125934995,17.75,0.06,15.35,60.28
2020-12-21,0.2175922651958045,16.78,0,16.91,46.41
2020-12-26,0.21415287725753968,17.83,0,14.9,52.91
2020-12-31,0.21001531370960508,16.97,0,11.96,57.65
2021-01-05,0.2048699547687493,22.1,0,12.67,59.92
2021-01-10,0.1989924370307209,18.94,0,17.74,45.05
2021-01-15,0.19307686189796475,17.78,0,16.51,42.34
2021-01-20,0.18789284475871615,19.74,0,18.52,35.19
2021-01-25,0.1838464270487963,18.9,4.34,12.59,45.74
2021-01-30,0.18091132367476465,15.95,0,20.35,28.15
2021-02-04,0.1785661241629446,19.59,0,20.91,24.92
2021-02-09,0.17599750075493462,23.29,0.03,18.03,32.94
2021-02-14,0.172398737928306,21.09,14.23,13.05,56.63
2021-02-19,0.1674376470094829,23.75,1.06,22.5,28.44
2021-02-24,0.1614139623905555,26.23,0,22.72,25.05
2021-03-01,0.15492271100570876,25.83,0,24.01,15.91
2021-03-06,0.148361049510164,26.86,0,22.6,18.01
2021-03-11,0.1421089186759516,27,5.59,18.38,30.23
2021-03-16,0.1364977224242922,28.85,1.05,18.43,27.36
2021-03-21,0.1317088452506562,29.94,0.12000000000000001,18.93,25.31
2021-03-26,0.12767297413553197,30.15,0,25.64,14.39
2021-03-31,0.1243430343959566,31.27,0,25.17,9.94
2021-04-05,0.1217417191067244,32.56,0.24000000000000002,21.36,16.13
2021-04-10,0.11994580020396824,32.21,0.47,19.2,17.65
2021-04-15,0.11880524397356852,32.29,0.76,22.12,18.84
2021-04-20,0.11901969121278884,31.4,2.36,24.13,23.71
2021-04-25,0.12164207686739598,33.81,0,23.5,9.51
2021-04-30,0.12720117396636182,32.56,4.46,21.22,28.28
2021-05-05,0.13534189064468455,31.03,63.74,20.48,51.76
2021-05-10,0.1453560708388371,30.87,14.209999999999999,24.53,47.54
2021-05-15,0.15652867717294008,30.8,16.419999999999998,20.7,63.47
2021-05-20,0.16887020382438395,30.79,0.66,23.36,42.02
2021-05-25,0.1829267986471915,31.98,2.05,22.58,44.83
2021-05-30,0.20081434106773352,33.94,0.11,17.86,43.77
2021-06-04,0.221335022147537,30.88,69.78,21.02,58.84
2021-06-09,0.24448884188660197,28.11,56.96,15.37,77.39
