date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2020-02-05,0.21822325723848737,15.39,8.35,16.43,65.62
2020-02-10,0.2147905491879177,17.94,0,20.29,50.46
2020-02-15,0.21191084787036155,18.43,0,21.09,41.4
2020-02-20,0.2095841532858196,21.23,31.87,15.59,63.14
2020-02-25,0.20781046543429185,19.105,0.01,20.75,56.135
2020-03-01,0.2067176565917191,21.98,6.01,20.42,56.1
2020-03-06,0.2062488617955185,21.1,8.25,19.89,62.25
2020-03-11,0.20630703169900697,22.26,36.79,17.92,70.31
2020-03-16,0.2062317417478914,22.12,7.26,19.04,56.26
2020-03-21,0.20524951977422765,23.59,1.68,21.31,54.55
2020-03-26,0.20319066255190432,26.33,0.97,20.88,54.87
2020-03-31,0.20039081158922104,26.94,1.05,22.18,53.36
2020-04-05,0.19735409344783317,28.12,1.5,23.4,33.98
2020-04-10,0.19468522138236535,31.32,0.01,25.29,24.13
2020-04-15,0.19300719763221813,31.6,0.15,21.34,24.03
2020-04-20,0.1927794444351727,31.08,2.59,23.87,26.33
2020-04-25,0.1937015306782404,28.29,15.68,24.63,45.27
2020-04-30,0.19518013546816995,31.04,4.21,25.29,32.43
2020-05-05,0.19680506240020745,30.98,12.02,23.86,42.99
2020-05-10,0.1984354734156908,31.87,37.330000000000005,23.13,38.17
2020-05-15,0.2006616165964121,30.64,171.67999999999998,23.49,47.12
2020-05-20,0.20539948161073415,32.96,0,28,34.39
2020-05-25,0.21448474001199547,33.77,4.19,28.03,32.73
2020-05-30,0.22776285835627533,31.65,0.01,22.97,44
2020-06-04,0.244010222014958,29.49,9.120000000000001,23.18,60.73
2020-06-09,0.2613335605219937,27.51,49.51,14.89,75.3
2020-06-14,0.27744619067928433,26.8,62.43,14.45,78.99
2020-06-19,0.2905479252648742,26.11,49.52,15.22,82.28
2020-06-24,0.3002675644375972,25.94,46.18,16.29,85.08
2020-06-29,0.3078708229275371,26.92,43.57,12.02,85.89
2020-07-04,0.31456721181949354,25.61,56.78,15.15,86.3
2020-07-09,0.3203094355804053,25.76,58.480000000000004,14.82,86.51
2020-07-14,0.32514772602635494,26.23,16.39,17.37,83.62
2020-07-19,0.32927726335045837,24.97,31.92,14.22,87.82
2020-07-24,0.3326522595303029,26.14,17.25,17.44,83.5
2020-07-29,0.33509677199895704,26.17,4.24,20.72,85.6
2020-08-03,0.3364115426736067,25.91,83.4,13.7,87.05
2020-08-08,0.3364659658142767,25.35,90.56,11.27,89.17
2020-08-13,0.33527605847387704,25.74,109.49000000000001,8.79,90.5
2020-08-18,0.3331239853083834,25.59,142.85,8.44,92.85
2020-08-23,0.3305971126501184,24.83,49.43,16,92.44
2020-08-28,0.3282455141178043,24.53,162.07999999999998,8.26,93.29
2020-09-02,0.3261773736326804,25.15,11.69,19.85,86.23
2020-09-07,0.32376358817946493,25.67,46.24,17.96,86.99
2020-09-12,0.32005060696424226,25.66,19.38,19.02,87.17
2020-09-17,0.31447801151313803,26.35,14.97,17,83.22
2020-09-22,0.3074287115598474,24.63,68.74,11.17,92.25
2020-09-27,0.29993237129568384,24.6,2.24,18.39,83.63
2020-10-02,0.29315735456059233,23.38,11.4,17.74,79.55
2020-10-07,0.2877724898651968,24.46,51.9,11.95,90
2020-10-12,0.2839032491858357,24.4,4.5200000000000005,16.85,89.03
2020-10-17,0.2808227242504354,24.46,4.76,17.34,84.71
2020-10-22,0.2775527325032631,23.1,0,18.22,67.96
2020-10-27,0.2735279605113385,21.87,0,17.08,69.74
2020-11-01,0.2688769582059763,19.22,0,18.35,62.51
2020-11-06,0.26394678253472226,16.68,0,17.2,62.19
2020-11-11,0.258997152981647,20.95,0.09,17.09,82.38
2020-11-16,0.2540575568266532,21.19,10.74,16,80.74
2020-11-21,0.24918489487269513,17.31,0.1,17.3,59.2
2020-11-26,0.2445717435465488,18.49,5.14,16.08,74.79
2020-12-01,0.2404597386677735,19.02,0,16.4,46.22
2020-12-06,0.2369579472970492,19.4,0,16.11,50.83
2020-12-11,0.23378520055092045,18.98,3.31,7.73,74.02
2020-12-16,0.23042690856929268,15.2,0.07,15.4,63.19
2020-12-21,0.22648100518376288,15.4,0,16.94,49.51
2020-12-26,0.22199752862013572,16.31,0,14.8,56.22
2020-12-31,0.21734588182612669,16.67,0,11.67,54.68
2021-01-05,0.21313939136747168,21.7,0.02,12.31,57.99
2021-01-10,0.20984500135657344,17.19,0,17.73,43.88
2021-01-15,0.20773913370668765,18.48,0,16.34,41.62
2021-01-20,0.2066052890983117,18.64,0,17.58,28.82
2021-01-25,0.2058251662822553,17.95,3.63,12.53,39.81
2021-01-30,0.20478719148652663,15.97,0,20.28,23.22
2021-02-04,0.20320157907519437,17.86,0,20.87,22.66
2021-02-09,0.20100615947933487,22.05,0.02,17.96,28.4
2021-02-14,0.19797347185279313,19.97,19.3,13.29,57.69
2021-02-19,0.1937777805522292,22.9,0.19,22.55,29.61
2021-02-24,0.1885484647970906,25.19,0,22.75,25.66
2021-03-01,0.18290867850672127,24.45,0,23.42,17.7
2021-03-06,0.17757201505745615,25.99,0,22.48,18.76
2021-03-11,0.17314168707139202,25.49,8.26,18.92,36.19
2021-03-16,0.169866913656618,27.13,0.66,18.85,30.41
2021-03-21,0.16769414497794846,28.35,0.18000000000000002,20.89,26.39
2021-03-26,0.16616967008925257,29.24,0,25.11,15.15
2021-03-31,0.16485622985753448,29.03,0,25.51,11.81
2021-04-05,0.1635187741524029,31.03,0.37,21.16,17.01
2021-04-10,0.16232566299212003,30.79,1.89,21.02,19.58
2021-04-15,0.16159115629574966,30.61,0.06,22.21,20.45
2021-04-20,0.16215734889843228,29.95,0.75,24.49,23.55
2021-04-25,0.16485838215448667,32.51,0,25.62,9.26
2021-04-30,0.17003276572905213,31.77,3.07,21.35,28.64
2021-05-05,0.17734773135635062,31,34.269999999999996,21.22,44.71
2021-05-10,0.1861986931210849,29.88,5.72,23.99,46.61
2021-05-15,0.1958880769547914,28.4,49.57,19.92,72.42
